brand,mileage_band,age_band,price
alfa_romeo,0-50k,0-5,15962.0
alfa_romeo,0-50k,6-10,11546.0
alfa_romeo,0-50k,11-15,3603.0
alfa_romeo,0-50k,16-20,865.0
alfa_romeo,0-50k,21-40,10246.0
alfa_romeo,0-50k,40+,25408.0
alfa_romeo,50k-100k,0-5,11159.0
alfa_romeo,50k-100k,6-10,7850.0
alfa_romeo,50k-100k,11-15,3992.0
alfa_romeo,50k-100k,16-20,3123.0
alfa_romeo,50k-100k,21-40,10099.0
alfa_romeo,50k-100k,40+,18542.0
alfa_romeo,100k-150k,0-5,9575.0
alfa_romeo,100k-150k,6-10,6617.0
alfa_romeo,100k-150k,11-15,3494.0
alfa_romeo,100k-150k,16-20,1964.0
alfa_romeo,100k-150k,21-40,9200.0
alfa_romeo,100k-150k,40+,16994.0
alfa_romeo,150k+,0-5,9374.0
alfa_romeo,150k+,6-10,5375.0
alfa_romeo,150k+,11-15,1859.0
alfa_romeo,150k+,16-20,1409.0
alfa_romeo,150k+,21-40,5846.0
alfa_romeo,150k+,40+,18945.0
audi,0-50k,0-5,27661.0
audi,0-50k,6-10,17004.0
audi,0-50k,11-15,6092.0
audi,0-50k,16-20,2537.0
audi,0-50k,21-40,3280.0
audi,0-50k,40+,8059.0
audi,50k-100k,0-5,22271.0
audi,50k-100k,6-10,16704.0
audi,50k-100k,11-15,8547.0
audi,50k-100k,16-20,4350.0
audi,50k-100k,21-40,3481.0
audi,50k-100k,40+,4656.0
audi,100k-150k,0-5,19866.0
audi,100k-150k,6-10,14306.0
audi,100k-150k,11-15,7551.0
audi,100k-150k,16-20,3888.0
audi,100k-150k,21-40,2764.0
audi,100k-150k,40+,3947.0
audi,150k+,0-5,17756.0
audi,150k+,6-10,10918.0
audi,150k+,11-15,5067.0
audi,150k+,16-20,2109.0
audi,150k+,21-40,1626.0
audi,150k+,40+,7193.0
bmw,0-50k,0-5,28763.0
bmw,0-50k,6-10,17294.0
bmw,0-50k,11-15,7942.0
bmw,0-50k,16-20,2919.0
bmw,0-50k,21-40,5088.0
bmw,0-50k,40+,12230.0
bmw,50k-100k,0-5,23136.0
bmw,50k-100k,6-10,15578.0
bmw,50k-100k,11-15,9880.0
bmw,50k-100k,16-20,7350.0
bmw,50k-100k,21-40,7693.0
bmw,50k-100k,40+,13943.0
bmw,100k-150k,0-5,20950.0
bmw,100k-150k,6-10,14289.0
bmw,100k-150k,11-15,7965.0
bmw,100k-150k,16-20,4570.0
bmw,100k-150k,21-40,5752.0
bmw,100k-150k,40+,14500.0
bmw,150k+,0-5,18309.0
bmw,150k+,6-10,11446.0
bmw,150k+,11-15,5643.0
bmw,150k+,16-20,2421.0
bmw,150k+,21-40,2651.0
bmw,150k+,40+,10952.0
chevrolet,0-50k,0-5,12222.0
chevrolet,0-50k,6-10,5848.0
chevrolet,0-50k,11-15,12077.0
chevrolet,0-50k,16-20,8148.0
chevrolet,0-50k,21-40,8778.0
chevrolet,0-50k,40+,24728.0
chevrolet,50k-100k,0-5,10264.0
chevrolet,50k-100k,6-10,4367.0
chevrolet,50k-100k,11-15,4305.0
chevrolet,50k-100k,16-20,5217.0
chevrolet,50k-100k,21-40,9098.0
chevrolet,50k-100k,40+,23053.0
chevrolet,100k-150k,0-5,10110.0
chevrolet,100k-150k,6-10,4442.0
chevrolet,100k-150k,11-15,3163.0
chevrolet,100k-150k,16-20,3930.0
chevrolet,100k-150k,21-40,8194.0
chevrolet,100k-150k,40+,12841.0
chevrolet,150k+,0-5,8863.0
chevrolet,150k+,6-10,4391.0
chevrolet,150k+,11-15,4082.0
chevrolet,150k+,16-20,5239.0
chevrolet,150k+,21-40,6737.0
chevrolet,150k+,40+,16801.0
chrysler,0-50k,0-5,19220.0
chrysler,0-50k,6-10,12731.0
chrysler,0-50k,11-15,7383.0
chrysler,0-50k,16-20,2230.0
chrysler,0-50k,21-40,1850.0
chrysler,0-50k,40+,17500.0
chrysler,50k-100k,0-5,17095.0
chrysler,50k-100k,6-10,9727.0
chrysler,50k-100k,11-15,6348.0
chrysler,50k-100k,16-20,2648.0
chrysler,50k-100k,21-40,2756.0
chrysler,50k-100k,40+,14254.0
chrysler,100k-150k,0-5,
chrysler,100k-150k,6-10,10219.0
chrysler,100k-150k,11-15,3823.0
chrysler,100k-150k,16-20,1673.0
chrysler,100k-150k,21-40,4150.0
chrysler,100k-150k,40+,
chrysler,150k+,0-5,10500.0
chrysler,150k+,6-10,8070.0
chrysler,150k+,11-15,3251.0
chrysler,150k+,16-20,1410.0
chrysler,150k+,21-40,1730.0
chrysler,150k+,40+,
citroen,0-50k,0-5,11141.0
citroen,0-50k,6-10,5866.0
citroen,0-50k,11-15,2315.0
citroen,0-50k,16-20,829.0
citroen,0-50k,21-40,6374.0
citroen,0-50k,40+,10008.0
citroen,50k-100k,0-5,9590.0
citroen,50k-100k,6-10,5390.0
citroen,50k-100k,11-15,2843.0
citroen,50k-100k,16-20,992.0
citroen,50k-100k,21-40,5497.0
citroen,50k-100k,40+,18540.0
citroen,100k-150k,0-5,9938.0
citroen,100k-150k,6-10,5479.0
citroen,100k-150k,11-15,2430.0
citroen,100k-150k,16-20,936.0
citroen,100k-150k,21-40,3351.0
citroen,100k-150k,40+,15750.0
citroen,150k+,0-5,7744.0
citroen,150k+,6-10,4070.0
citroen,150k+,11-15,1797.0
